number_plate,image_link,detected_number_plate,driver_violation,passenger_violation,message
KA09AA3826,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA09AA3826_1764385833947.jpg,KA09AA3826 (0.983),Driver_not_wearing_seatbelt (0.72),,Violation detected
KA09C1947,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA09C1947_1764390358292.jpg,,,,No violation detected - all occupants wearing seatbelts
KA11B5645,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA11B5645_1764390991641.jpg,,,,No violation detected - all occupants wearing seatbelts
KA09F5018,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA09F5018_1764394890446.jpg,,,,No violation detected - all occupants wearing seatbelts
KA11F0240,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA11F0240_1764388532617.jpg,,,,No violation detected - all occupants wearing seatbelts
KA15N6308,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA15N6308_1764402214162.jpg,KA15N6308 (0.936),,passenger_not_wearing_seatbelt (0.72),Violation detected
KA44M9128,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA44M9128_1764405529748.jpg,,,,No violation detected - all occupants wearing seatbelts
KA12MB1155,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA12MB1155_1764384339523.jpg,KA12MB1155 (0.997),,passenger_not_wearing_seatbelt (0.78),Violation detected
KA04MZ6819,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA04MZ6819_1764405295085.jpg,,,,No violation detected - all occupants wearing seatbelts
KA09MG1763,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA09MG1763_1764385834028.jpg,KA09HG1763 (0.963),,passenger_not_wearing_seatbelt (0.76),Violation detected
KA02MM6388,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA02MM6388_1764390461920.jpg,KA02MM6388 (0.955),,passenger_not_wearing_seatbelt (0.76),Violation detected
KA35P0874,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA35P0874_1764392044953.jpg,,,,No violation detected - all occupants wearing seatbelts
KA55M6248,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA55M6248_1764390692826.jpg,KA55M6248 (0.994),,passenger_not_wearing_seatbelt (0.70),Violation detected
KA41N7692,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA41N7692_1764388903145.jpg,KA41N7692 (0.995),,passenger_not_wearing_seatbelt (0.73),Violation detected
KA53A1660,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA53A1660_1764379496299.jpg,,,,No violation detected - all occupants wearing seatbelts
KA09MH5299,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA09MH5299_1764397467943.jpg,,,,No violation detected - all occupants wearing seatbelts
KA02MS4585,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA02MS4585_1764386063453.jpg,KA02MS4585 (0.946),,passenger_not_wearing_seatbelt (0.49),Violation detected
KA04MJ6661,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA04MJ6661_1764389168669.jpg,,,,No violation detected - all occupants wearing seatbelts
KA52B2199,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA52B2199_1764406106560.jpg,KA52B2199 (0.943),Driver_not_wearing_seatbelt (0.45),,Violation detected
KA09MA5530,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA09MA5530_1764389499399.jpg,KA09MA5530 (0.972),,passenger_not_wearing_seatbelt (0.56),Violation detected
KA41MC1042,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA41MC1042_1764404782791.jpg,KA41MC1042 (0.970),,passenger_not_wearing_seatbelt (0.72),Violation detected
KA09A9575,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA09A9575_1764380633783.jpg,KA09A9575 (0.995),Driver_not_wearing_seatbelt (0.47),,Violation detected
KA09Z8755,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA09Z8755_1764386063312.jpg,,,,No violation detected - all occupants wearing seatbelts
KA09MG5088,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA09MG5088_1764385425038.jpg,,,,No violation detected - all occupants wearing seatbelts
KA11B5117,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA11B5117_1764386521673.jpg,KA117851177 (0.855),Driver_not_wearing_seatbelt (0.50),,Violation detected
